# null null
0 0
1000 0
0 1000
133.076 303.322
658.66 337.261
604.974 193.434
893.516 80.1121
495.467 453.873
104.108 892.009
96.2847 181.379
394.103 141.233
54.8403 177.512
840.263 157.641
989.583 1.0708
16.7967 32.8687
230.782 393.943
505.454 101.494
852.273 60.7178
147.13 562.313
995.468 4.3202
780.288 115.845
481.201 227.649
730.216 205.269
687.29 202.346
285.491 554.763
637.125 252.754
778.262 85.8731
936.913 8.1224
915.852 58.4293
358.399 32.983
924.736 5.1487
566.451 369.643
25.9503 736.583
944.762 29.1435
174.955 27.9872
789.045 186.457
760.688 103.503
695.018 28.3493
983.228 11.725
986.094 2.436
452.46 463.893
556.589 47.9523
524.756 16.4236
235.32 762.494
994.387 3.9859
66.508 455.588
5.6377 655.663
501.251 328.284
240.804 270.102
739.744 114.824
204.56 56.5936
581.06 234.838
146.028 788.213
948.598 11.5633
858.63 41.4732
41.2075 956.494
610.978 32.8877
9.8873 396.581
706.269 293.638
438.797 439.129
852.189 123.199
771.754 17.1752
167.868 9.6728
356.567 56.0431
616.677 352.812
621.149 254.922
425.375 534.406
934.398 27.7276
959.762 23.313
143.743 289.086
864.192 85.702
21.493 55.147
97.4643 541.975
429.645 463.136
742.188 127.865
787.637 92.2795
434.397 321.638
149.218 413.189
637.223 157.279
640.273 343.261
564.279 321.566
620.343 132.7
27.7975 416.565
539.884 237.849
249.935 44.3306
21.1912 233.053
334.868 495.009
740.593 185.699
584.695 194.42
527.249 71.6981
473.518 493.108
305.183 72.9418
518.417 89.3063
92.2675 583.929
402.093 43.4748
332.923 208.407
57.8061 319.794
486.985 300.565
172.24 240.005
328.269 577.591
537.857 108.572
729.666 209.973
158.221 619.702
235.429 623.275
801.701 178.295
42.5513 481.086
580.687 48.3994
715.548 196.334
934.011 41.3113
38.1362 774.703
506.697 154.503
550.092 192.244
511.887 177.165
426.99 531.347
468.793 513.591
1.4217 739.526
689.868 24.8684
2.6823 372.799
408.052 510.525
966.432 8.4063
766.924 48.8574
256.337 335.987
682.588 252.426
588.953 70.2224
483.845 448.955
259.859 280.368
51.9636 689.418
495.881 38.6157
208.851 249.452
775.414 189.776
973.744 9.4075
3.735 367.871
670.103 325.865
145.713 607.464
178.086 257.652
2.1977 727.412
375.569 386.758
964.538 17.7737
344.854 486.051
33.1972 227.237
58.3824 438.591
510.816 340.36
228.552 203.155
388.498 220.439
580.646 276.793
817.787 146.828
830.964 117.825
